meta_iteration,cumulative_performance,performance,step,num_mutated_tasks,num_policy_tasks
0,0.0,0.0,20,12554,126
1,0.0,0.0,40,12554,1362
2,0.0,0.0,63,12554,4108
3,0.0,0.0,91,12554,6373
4,0.0,0.0,123,12554,9092
5,0.005,0.005,161,12554,13063
6,0.01,0.0075,207,12554,15989
7,0.0175,0.01,258,12554,19244
8,0.0175,0.0125,316,12554,23139
9,0.0225,0.015,381,12554,27314
10,0.0275,0.02,454,12554,32281
11,0.0325,0.0175,537,12554,37268
12,0.0425,0.025,630,12554,42241
13,0.045,0.03,733,12554,47074
14,0.05,0.035,845,12554,52361
15,0.0525,0.0325,967,12554,56956
16,0.06,0.04,1098,12554,61910
17,0.06,0.045,1239,12554,66422
18,0.0625,0.0425,1389,12554,71437
19,0.065,0.035,1549,12554,75704
20,0.0725,0.0425,1717,12554,80633
21,0.0775,0.055,1895,12554,84893
22,0.0775,0.0525,2081,12554,89537
23,0.075,0.0525,2276,12554,94404
24,0.0775,0.05,2472,12554,98868
25,0.075,0.055,2668,12554,103383
26,0.0775,0.05,2864,12554,107557
27,0.0825,0.0625,3060,12554,111820
28,0.0825,0.0525,3256,12554,116047
29,0.0825,0.0575,3452,12554,120536
30,0.0825,0.06,3648,12554,124818
31,0.0875,0.0625,3844,12554,129297
32,0.0875,0.06,4040,12554,133631
33,0.09,0.0625,4236,12554,138105
34,0.09,0.07,4432,12554,142481
35,0.09,0.07,4628,12554,146898
36,0.09,0.07,4824,12554,151206
37,0.0925,0.0675,5020,12554,155567
38,0.095,0.075,5216,12554,159990
39,0.095,0.0775,5412,12554,164476
40,0.095,0.0725,5608,12554,169075
41,0.095,0.075,5804,12554,173468
42,0.095,0.07,6000,12554,177963
43,0.0975,0.08,6196,12554,182472
44,0.0975,0.0725,6392,12554,186862
45,0.0975,0.0825,6588,12554,191331
46,0.1025,0.0825,6784,12554,195868
47,0.105,0.08,6980,12554,200412
48,0.1075,0.085,7176,12554,204911
49,0.1075,0.0875,7372,12554,209186
50,0.1125,0.0925,7568,12554,213708
51,0.1125,0.0875,7764,12554,218588
52,0.115,0.0925,7960,12554,223063
53,0.115,0.0925,8156,12554,227544
54,0.115,0.0925,8352,12554,232236
55,0.115,0.0875,8548,12554,237204
56,0.115,0.095,8744,12554,241913
57,0.1125,0.095,8940,12554,246509
58,0.1125,0.1,9136,12554,251374
59,0.1125,0.0925,9332,12554,256028
60,0.1125,0.0975,9528,12554,260872
61,0.1125,0.095,9724,12554,265760
62,0.115,0.1025,9920,12554,270806
63,0.1175,0.0925,10116,12554,275817
64,0.1175,0.1,10312,12554,280511
65,0.1175,0.1025,10508,12554,285606
66,0.12,0.1025,10704,12554,290234
67,0.12,0.105,10900,12554,295177
68,0.12,0.1,11096,12554,299910
69,0.1175,0.1025,11292,12554,304654
70,0.1175,0.1025,11488,12554,309450
71,0.1175,0.1025,11684,12554,314437
72,0.1175,0.1025,11880,12554,319534
73,0.1175,0.1025,12076,12554,324481
74,0.1175,0.1075,12272,12554,329618
75,0.1175,0.105,12468,12554,334669
76,0.1175,0.11,12664,12554,339509
77,0.1175,0.1125,12860,12554,344631
78,0.1175,0.105,13056,12554,349574
79,0.1175,0.105,13252,12554,354581
80,0.1175,0.105,13448,12554,359683
81,0.1175,0.105,13644,12554,364822
82,0.1175,0.105,13840,12554,369821
83,0.1175,0.1075,14036,12554,374867
84,0.1175,0.1075,14232,12554,380217
85,0.1175,0.11,14428,12554,385228
86,0.1175,0.105,14624,12554,390540
87,0.12,0.11,14820,12554,395769
88,0.12,0.1125,15016,12554,401014
89,0.12,0.11,15212,12554,406316
90,0.12,0.115,15408,12554,411521
91,0.1175,0.1075,15604,12554,416886
92,0.1175,0.115,15800,12554,422224
93,0.1175,0.1125,15996,12554,427627
