meta_iteration,cumulative_performance,performance,step,num_mutated_tasks,num_policy_tasks
0,0.0,0.0,20,12554,119
1,0.0,0.0,40,12554,1539
2,0.0,0.0,63,12554,4238
3,0.0025,0.0025,91,12554,6521
4,0.0025,0.0025,124,12554,9267
5,0.005,0.0025,162,12554,12336
6,0.0075,0.005,206,12554,15262
7,0.01,0.005,256,12554,18197
8,0.0125,0.01,312,12554,22011
9,0.02,0.0125,375,12554,26572
10,0.0225,0.015,447,12554,30914
11,0.03,0.0225,527,12554,35239
12,0.0325,0.025,616,12554,39454
13,0.035,0.03,713,12554,44015
14,0.05,0.0425,819,12554,48519
15,0.05,0.0425,934,12554,53319
16,0.05,0.0375,1058,12554,58250
17,0.055,0.0375,1192,12554,63324
18,0.0575,0.04,1336,12554,68266
19,0.0625,0.05,1489,12554,72903
20,0.0625,0.0475,1651,12554,77738
21,0.0675,0.055,1823,12554,82503
22,0.07,0.055,2004,12554,86974
23,0.07,0.05,2194,12554,91318
24,0.0725,0.05,2390,12554,95802
25,0.0725,0.0625,2586,12554,100053
26,0.075,0.06,2782,12554,104511
27,0.0775,0.0625,2978,12554,108816
28,0.08,0.0675,3174,12554,113111
29,0.0825,0.0725,3370,12554,117364
30,0.0825,0.07,3566,12554,121772
31,0.0825,0.0725,3762,12554,126207
32,0.0825,0.0725,3958,12554,130595
33,0.085,0.07,4154,12554,134924
34,0.0875,0.0775,4350,12554,139075
35,0.0875,0.0675,4546,12554,143679
36,0.0875,0.075,4742,12554,147849
37,0.0925,0.075,4938,12554,152481
38,0.095,0.0775,5134,12554,156794
39,0.095,0.0775,5330,12554,161133
40,0.095,0.08,5526,12554,165384
41,0.0975,0.075,5722,12554,169605
42,0.0975,0.0825,5918,12554,173866
43,0.0975,0.08,6114,12554,178325
44,0.1,0.09,6310,12554,182719
45,0.1,0.09,6506,12554,187159
46,0.1,0.085,6702,12554,191692
47,0.1,0.0825,6898,12554,196404
48,0.1025,0.0875,7094,12554,200850
49,0.1025,0.0925,7290,12554,205421
50,0.1025,0.09,7486,12554,210082
51,0.1025,0.0925,7682,12554,214687
52,0.1025,0.0925,7878,12554,219333
53,0.105,0.1,8074,12554,223865
54,0.105,0.095,8270,12554,228615
55,0.105,0.0975,8466,12554,233161
56,0.105,0.1,8662,12554,237739
57,0.105,0.1025,8858,12554,242357
58,0.105,0.095,9054,12554,247115
59,0.105,0.0975,9250,12554,251847
60,0.105,0.1,9446,12554,256711
61,0.105,0.095,9642,12554,261489
62,0.105,0.1025,9838,12554,266189
63,0.105,0.1025,10034,12554,271060
64,0.105,0.0975,10230,12554,275978
65,0.1075,0.105,10426,12554,280864
66,0.1075,0.1025,10622,12554,285746
67,0.1075,0.1025,10818,12554,290637
68,0.1075,0.105,11014,12554,295250
69,0.1075,0.1025,11210,12554,300114
70,0.1075,0.0975,11406,12554,305011
71,0.1075,0.1025,11602,12554,309750
72,0.1075,0.1075,11798,12554,314846
73,0.1075,0.105,11994,12554,319828
74,0.1075,0.1,12190,12554,325003
75,0.1075,0.1,12386,12554,330154
76,0.1075,0.1,12582,12554,335113
77,0.1075,0.1025,12778,12554,340374
78,0.1075,0.105,12974,12554,345423
79,0.1075,0.1075,13170,12554,350577
80,0.1075,0.1025,13366,12554,355875
81,0.1075,0.105,13562,12554,361191
82,0.1075,0.1,13758,12554,366165
83,0.1075,0.1025,13954,12554,371293
84,0.1075,0.1,14150,12554,376437
85,0.1075,0.105,14346,12554,381586
86,0.1075,0.1025,14542,12554,386559
87,0.1075,0.1025,14738,12554,391776
88,0.1075,0.1125,14934,12554,396785
89,0.1075,0.1025,15130,12554,401868
90,0.1075,0.105,15326,12554,407144
