meta_iteration,cumulative_performance,performance,step,num_mutated_tasks,num_policy_tasks
0,0.0,0.0,20,12554,209
1,0.0,0.0,40,12554,1927
2,0.0,0.0,64,12554,3800
3,0.005,0.005,91,12554,6769
4,0.0075,0.0025,124,12554,9942
5,0.01,0.005,163,12554,13005
6,0.01,0.0075,208,12554,16097
7,0.01,0.005,259,12554,19580
8,0.015,0.0125,317,12554,24502
9,0.015,0.005,385,12554,27785
10,0.025,0.0225,459,12554,33016
11,0.0325,0.02,544,12554,37588
12,0.04,0.03,637,12554,42780
13,0.045,0.025,741,12554,47545
14,0.05,0.0275,854,12554,52029
15,0.0525,0.0275,976,12554,56472
16,0.05,0.035,1106,12554,61149
17,0.055,0.0375,1245,12554,65625
18,0.06,0.05,1393,12554,69909
19,0.06,0.0525,1550,12554,74415
20,0.07,0.05,1715,12554,79107
21,0.0775,0.045,1890,12554,83873
22,0.0775,0.05,2074,12554,88384
23,0.08,0.05,2267,12554,93074
24,0.08,0.0575,2463,12554,97354
25,0.0825,0.055,2659,12554,101685
26,0.0875,0.0675,2855,12554,106138
27,0.09,0.0575,3051,12554,110419
28,0.09,0.0625,3247,12554,114809
29,0.09,0.065,3443,12554,118763
30,0.0925,0.0775,3639,12554,122865
31,0.095,0.07,3835,12554,126938
32,0.1,0.0775,4031,12554,131033
33,0.1,0.07,4227,12554,135012
34,0.1025,0.09,4423,12554,139066
35,0.105,0.0875,4619,12554,142938
36,0.105,0.0775,4815,12554,147064
37,0.105,0.085,5011,12554,151325
38,0.105,0.0725,5207,12554,155031
39,0.1075,0.085,5403,12554,159214
40,0.1075,0.09,5599,12554,163314
41,0.1075,0.0925,5795,12554,167566
42,0.1075,0.0925,5991,12554,171814
43,0.1075,0.095,6187,12554,175997
44,0.1075,0.0925,6383,12554,180391
45,0.1075,0.0925,6579,12554,184671
46,0.1075,0.0975,6775,12554,188859
47,0.1075,0.095,6971,12554,193306
48,0.11,0.1,7167,12554,197568
49,0.1075,0.0975,7363,12554,202002
50,0.11,0.1025,7559,12554,206190
51,0.11,0.0925,7755,12554,210385
52,0.11,0.1025,7951,12554,214556
53,0.11,0.1025,8147,12554,219144
54,0.11,0.105,8343,12554,223417
55,0.11,0.0875,8539,12554,227836
56,0.1125,0.1075,8735,12554,232700
57,0.115,0.0975,8931,12554,237198
58,0.1175,0.1075,9127,12554,241910
59,0.1175,0.1,9323,12554,246478
60,0.1175,0.1,9519,12554,251226
61,0.1175,0.105,9715,12554,256002
62,0.1175,0.1025,9911,12554,260443
63,0.12,0.1,10107,12554,265036
64,0.12,0.105,10303,12554,269589
65,0.12,0.1025,10499,12554,274249
66,0.12,0.11,10695,12554,278869
67,0.12,0.11,10891,12554,283293
68,0.12,0.11,11087,12554,288043
69,0.12,0.1075,11283,12554,292910
70,0.12,0.1075,11479,12554,297738
71,0.1175,0.11,11675,12554,302687
72,0.1175,0.1075,11871,12554,307448
73,0.1175,0.1075,12067,12554,312557
74,0.1175,0.11,12263,12554,317440
75,0.1175,0.105,12459,12554,322514
76,0.1175,0.1075,12655,12554,327465
77,0.1175,0.105,12851,12554,332433
78,0.1175,0.1125,13047,12554,337294
79,0.1175,0.11,13243,12554,342321
80,0.12,0.115,13439,12554,347293
81,0.12,0.1125,13635,12554,352349
82,0.12,0.1075,13831,12554,357341
83,0.1225,0.115,14027,12554,362398
84,0.1225,0.1125,14223,12554,367568
85,0.1225,0.1175,14419,12554,372683
86,0.1225,0.1125,14615,12554,377752
87,0.125,0.115,14811,12554,382751
88,0.125,0.1175,15007,12554,387913
89,0.1275,0.115,15203,12554,392909
90,0.1275,0.115,15399,12554,397965
91,0.1275,0.115,15595,12554,403254
92,0.1275,0.115,15791,12554,408555
93,0.1275,0.1175,15987,12554,413533
94,0.1275,0.1175,16183,12554,418682
95,0.1275,0.1175,16379,12554,424148
