task_id,avg_actions_to_solve,avg_attempts_to_solve,n_solvers,overall_avg_actions,total_attempts,codeit_first_iter,difficulty_category
00576224,132.4,1.6,5,88.0,11,63,Only hard for AI
009d5c81,62.714285714285715,1.4285714285714286,7,41.9375,16,25,Easy for both
070dd51e,111.44444444444444,1.6666666666666667,9,71.91666666666667,24,15,Easy for both
0934a4d8,56.0,1.0,1,79.0,25,67,Hard for both
0c786b71,126.25,1.625,8,65.56,25,66,Only hard for AI
0c9aba6e,47.0,2.0,1,42.76923076923077,26,35,Hard for both
12eac192,60.666666666666664,1.6666666666666667,3,54.4,20,61,Hard for both
15696249,47.77777777777778,1.1111111111111112,9,73.67857142857143,28,27,Only hard for humans
195ba7dc,125.5,2.25,4,61.370370370370374,27,26,Only hard for humans
19bb5feb,15.0,1.0,9,15.0,9,24,Easy for both
1a2e2828,13.666666666666666,1.1666666666666667,6,12.615384615384617,13,17,Easy for both
27f8ce4f,96.0,1.0,2,98.54545454545456,11,41,Hard for both
3194b014,12.1,1.0,10,33.46153846153846,13,8,Easy for both
32e9702f,98.5,1.5,6,50.44444444444444,27,49,Hard for both
34b99a2b,84.0,2.0,1,34.80769230769231,26,75,Hard for both
358ba94e,50.0,1.4444444444444444,9,30.75,16,12,Easy for both
48131b3c,73.5,1.3333333333333333,6,39.11538461538461,26,41,Hard for both
48f8583b,94.83333333333331,1.3333333333333333,6,64.28947368421052,38,32,Hard for both
506d28a5,32.666666666666664,1.0,3,29.6,15,20,Only hard for humans
59341089,89.0,1.2222222222222223,9,64.6470588235294,17,33,Only hard for AI
5d2a5c43,106.0,2.5,2,39.869565217391305,23,46,Hard for both
60c09cac,52.0,1.2,5,53.22222222222222,18,6,Only hard for humans
62ab2642,22.0,1.0,5,29.375,8,73,Only hard for AI
642d658d,16.0,1.4,5,12.3,10,10,Easy for both
66f2d22f,42.5,2.0,4,27.379310344827587,29,31,Only hard for humans
67b4a34d,48.25,1.25,4,36.0,17,17,Only hard for humans
68b67ca3,27.3,1.3,10,26.68421052631579,19,11,Easy for both
6df30ad6,43.833333333333336,1.3333333333333333,12,37.22727272727273,22,16,Easy for both
7039b2d7,16.75,1.375,8,44.52173913043478,23,50,Only hard for AI
7953d61e,282.3333333333333,1.6666666666666667,3,116.17241379310344,29,58,Hard for both
7bb29440,50.0,1.2,5,42.0,12,12,Easy for both
833dafe3,177.22222222222223,1.1111111111111112,9,134.92307692307693,13,39,Only hard for AI
84db8fc4,134.0,2.0,2,107.0,16,34,Hard for both
84f2aca1,31.0,1.2857142857142858,7,51.666666666666664,15,29,Easy for both
8597cfd7,25.363636363636363,1.7272727272727273,11,19.90909090909091,22,11,Easy for both
8fbca751,59.5,1.75,8,34.55,20,86,Only hard for AI
903d1b4a,116.13333333333334,1.3333333333333333,15,118.03448275862068,29,64,Only hard for AI
929ab4e9,213.5,1.0,2,72.4,20,47,Hard for both
94133066,44.5,1.0,2,66.55,20,72,Hard for both
9a4bb226,24.285714285714285,1.2857142857142858,7,37.5,18,17,Easy for both
9b4c17c4,115.0,1.6,5,94.72727272727272,11,95,Only hard for AI
ae58858e,32.857142857142854,1.1428571428571428,7,32.11764705882353,17,57,Only hard for AI
bc4146bd,103.4,1.2,5,76.85185185185185,27,66,Hard for both
be03b35f,29.571428571428573,1.7142857142857142,7,17.61904761904762,21,56,Only hard for AI
cd3c21df,26.545454545454547,1.5454545454545454,11,34.8,20,4,Easy for both
d19f7514,50.5,1.75,4,36.6764705882353,34,32,Hard for both
d4b1c2b1,108.33333333333331,1.5,6,79.4074074074074,27,12,Only hard for humans
e0fb7511,60.714285714285715,1.0,7,97.8125,16,36,Only hard for AI
e133d23d,27.166666666666668,1.3333333333333333,6,23.8,20,29,Only hard for humans
e345f17b,15.0,1.0,5,21.41176470588235,17,23,Only hard for humans
e66aafb8,25.5,1.2,10,24.428571428571427,21,15,Easy for both
e7639916,40.375,1.0,8,134.88235294117646,17,37,Only hard for AI
e872b94a,10.666666666666666,1.5555555555555556,9,40.78125,32,19,Only hard for humans
ed74f2f2,30.714285714285715,1.7142857142857142,7,27.5,24,35,Hard for both
ed98d772,42.333333333333336,1.3333333333333333,3,54.12,25,29,Only hard for humans
f0df5ff0,59.0,1.0,7,76.3076923076923,13,22,Easy for both
f4081712,76.625,1.375,8,55.56521739130435,23,18,Easy for both
f5aa3634,33.333333333333336,1.3333333333333333,12,27.045454545454547,22,11,Easy for both
