task_id,task_type,human_solved,codeit_solved,overlap_category
00576224,evaluation,True,True,Both solved
009d5c81,evaluation,True,True,Both solved
00dbd492,evaluation,True,False,Only humans solved
03560426,evaluation,True,False,Only humans solved
05a7bcf2,evaluation,True,False,Only humans solved
0607ce86,evaluation,True,False,Only humans solved
0692e18c,evaluation,True,False,Only humans solved
070dd51e,evaluation,True,True,Both solved
08573cc6,evaluation,True,False,Only humans solved
0934a4d8,evaluation,True,True,Both solved
09c534e7,evaluation,True,False,Only humans solved
0a1d4ef5,evaluation,True,False,Only humans solved
0a2355a6,evaluation,True,False,Only humans solved
0b17323b,evaluation,True,False,Only humans solved
0bb8deee,evaluation,True,False,Only humans solved
0becf7df,evaluation,True,False,Only humans solved
0c786b71,evaluation,True,True,Both solved
0c9aba6e,evaluation,True,True,Both solved
0d87d2a6,evaluation,True,False,Only humans solved
0e671a1a,evaluation,True,False,Only humans solved
0f63c0b9,evaluation,True,False,Only humans solved
103eff5b,evaluation,True,False,Only humans solved
11e1fe23,evaluation,True,False,Only humans solved
12422b43,evaluation,True,False,Only humans solved
12997ef3,evaluation,True,False,Only humans solved
12eac192,evaluation,True,True,Both solved
136b0064,evaluation,True,False,Only humans solved
13713586,evaluation,True,False,Only humans solved
137f0df0,evaluation,True,False,Only humans solved
140c817e,evaluation,True,False,Only humans solved
14754a24,evaluation,True,False,Only humans solved
15113be4,evaluation,True,False,Only humans solved
15663ba9,evaluation,True,False,Only humans solved
15696249,evaluation,True,True,Both solved
16b78196,evaluation,True,False,Only humans solved
17b80ad2,evaluation,True,False,Only humans solved
17cae0c1,evaluation,True,False,Only humans solved
18419cfa,evaluation,True,False,Only humans solved
184a9768,evaluation,True,False,Only humans solved
195ba7dc,evaluation,True,True,Both solved
1990f7a8,evaluation,True,False,Only humans solved
19bb5feb,evaluation,True,True,Both solved
1a2e2828,evaluation,True,True,Both solved
1a6449f1,evaluation,True,False,Only humans solved
1acc24af,evaluation,True,False,Only humans solved
1c02dbbe,evaluation,True,False,Only humans solved
1c0d0a4b,evaluation,True,False,Only humans solved
1c56ad9f,evaluation,True,False,Only humans solved
1d0a4b61,evaluation,True,False,Only humans solved
1d398264,evaluation,True,False,Only humans solved
1da012fc,evaluation,True,False,Only humans solved
1e81d6f9,evaluation,True,False,Only humans solved
1e97544e,evaluation,True,False,Only humans solved
2037f2c7,evaluation,True,False,Only humans solved
2072aba6,evaluation,True,False,Only humans solved
20818e16,evaluation,True,False,Only humans solved
20981f0e,evaluation,True,False,Only humans solved
212895b5,evaluation,True,False,Only humans solved
21f83797,evaluation,True,False,Only humans solved
22a4bbc2,evaluation,True,False,Only humans solved
25094a63,evaluation,True,False,Only humans solved
2546ccf6,evaluation,True,False,Only humans solved
256b0a75,evaluation,True,False,Only humans solved
