task_id,baseline,denominator,human_success_n,human_success_start,human_success_end,human_success_auc,human_success_is_monotonic,human_failed_n,human_failed_start,human_failed_end,human_failed_auc,human_failed_is_monotonic,codeit_success_n,codeit_success_start,codeit_success_end,codeit_success_auc,codeit_success_is_monotonic,codeit_failed_n,codeit_failed_start,codeit_failed_end,codeit_failed_auc,codeit_failed_is_monotonic
00576224,0.0,1.0,5.0,0.0,1.0,0.4752,True,1.0,0.6944,0.9167,0.2822,False,332,0.0,1.0,0.1667,True,29.0,0.0,0.75,0.2444,False
009d5c81,0.836735,0.163265,7.0,-5.125,1.0,0.4643,False,2.0,-2.4688,-2.4688,-2.4688,True,150,0.0,1.0,0.3382,True,747.0,0.0,0.1875,0.1216,True
070dd51e,0.8925,0.1075,9.0,-8.3023,1.0,0.324,False,3.0,0.6279,0.6279,0.6395,False,477,0.0,1.0,0.3295,True,18.0,0.0,0.9535,0.2907,False
0934a4d8,0.0,1.0,1.0,0.0,1.0,0.4479,False,8.0,0.1111,0.1296,0.1204,True,125,0.0,1.0,0.5,True,6.0,0.0,0.8148,0.3768,False
0c786b71,0.0,1.0,8.0,0.0,1.0,0.469,False,4.0,0.2292,0.1562,0.1033,False,343,0.0,1.0,0.1427,True,,,,,
0c9aba6e,0.0,1.0,1.0,0.4583,1.0,0.7292,True,8.0,0.75,0.7292,0.7296,False,536,0.0,1.0,0.389,False,,,,,
12eac192,0.703125,0.296875,3.0,-2.3684,1.0,0.2395,True,5.0,0.1053,0.1053,0.1053,True,289,0.0,1.0,0.5395,True,19.0,0.0,0.5789,0.3136,True
15696249,0.0,1.0,9.0,0.0,1.0,0.7875,True,6.0,0.3395,0.537,0.4446,False,188,0.0,1.0,0.1574,False,119.0,0.0,0.6667,0.1259,False
195ba7dc,0.0,1.0,4.0,0.4667,1.0,0.6323,False,6.0,0.1333,0.3,0.3106,False,527,0.0,1.0,0.4598,False,10.0,0.0,0.5333,0.3981,False
19bb5feb,0.0,1.0,9.0,0.0,1.0,0.3303,True,,,,,,759,0.0,1.0,0.1,True,31.0,0.0,0.75,0.0626,True
1a2e2828,0.0,1.0,6.0,0.0,1.0,0.1667,True,2.0,0.0,0.0,0.0,True,57,0.0,1.0,0.25,True,554.0,0.0,0.0,0.0,True
27f8ce4f,0.0,1.0,2.0,0.0,0.5,0.6364,False,3.0,0.3333,0.3333,0.3333,True,404,0.0,1.0,0.1398,False,105.0,0.0,0.9506,0.1284,False
3194b014,0.0,1.0,10.0,0.0,1.0,0.5,True,1.0,0.0,0.0,0.0,True,725,0.0,1.0,0.25,True,44.0,0.0,0.0,0.0,True
31d5ba1a,0.0,1.0,,,,,,9.0,0.4667,0.5333,0.4561,False,330,0.0,1.0,0.2604,True,1.0,0.0,0.0,0.0533,False
32e9702f,0.12,0.88,6.0,-0.0455,1.0,0.5081,True,6.0,0.0341,0.0284,0.0313,False,406,0.0,1.0,0.3212,False,94.0,0.0,0.9432,0.4549,False
34b99a2b,0.0,1.0,1.0,0.95,1.0,0.975,True,8.0,0.475,0.45,0.4747,False,115,0.0,1.0,0.33,True,1.0,0.0,0.4,0.2875,False
358ba94e,0.0,1.0,9.0,0.0,1.0,0.5217,True,1.0,0.0,0.0,0.0,True,290,0.0,1.0,0.75,True,415.0,0.0,0.84,0.5638,False
48131b3c,0.0,1.0,6.0,0.0,1.0,0.5385,False,6.0,0.0,0.0,0.0,True,119,0.0,1.0,0.125,True,158.0,0.0,0.5,0.0729,True
48f8583b,0.0,1.0,6.0,0.0,1.0,0.744,True,10.0,0.4444,0.4444,0.4254,False,178,0.0,1.0,0.1397,False,61.0,0.0,0.9506,0.1313,False
506d28a5,0.0,1.0,3.0,0.0,1.0,0.5227,True,4.0,0.525,0.55,0.4582,False,693,0.0,1.0,0.3975,True,,,,,
59341089,0.0,1.0,9.0,0.0,1.0,0.434,False,2.0,0.2778,0.2778,0.2778,True,532,0.0,1.0,0.0715,True,1.0,0.0,0.8889,0.1666,True
5d2a5c43,0.0,1.0,2.0,0.5417,1.0,0.5816,False,6.0,0.5208,0.5208,0.4934,False,268,0.0,1.0,0.4274,True,1.0,0.0,0.9167,0.3333,False
60c09cac,0.0,1.0,5.0,0.0,1.0,0.7703,True,4.0,0.0,0.29,0.2686,False,656,0.0,1.0,0.5,True,5.0,0.0,0.84,0.2196,False
62ab2642,0.8,0.2,5.0,-4.0,1.0,-0.0609,True,1.0,-4.0,-0.5,-0.4919,False,96,0.0,1.0,0.7778,True,46.0,0.0,0.8333,0.6944,True
642d658d,0.0,1.0,5.0,0.0,1.0,0.1667,True,1.0,0.0,0.0,0.0,True,20,0.0,1.0,0.4083,True,153.0,0.0,0.0,0.0,True
66f2d22f,0.0,1.0,4.0,0.4821,1.0,0.8672,False,7.0,0.0,0.0,0.0,True,534,0.0,1.0,0.3327,False,,,,,
67b4a34d,0.0,1.0,4.0,0.0,1.0,0.4131,False,4.0,0.0938,0.0625,0.0729,False,633,0.0,1.0,0.3,True,20.0,0.0,0.4375,0.1313,True
68b67ca3,0.0,1.0,10.0,0.2222,1.0,0.6111,True,2.0,0.0,0.0,0.0,True,623,0.0,1.0,0.5,True,10.0,0.0,0.8889,0.7222,False
6df30ad6,0.75,0.25,12.0,-3.0,1.0,0.5496,True,2.0,0.46,0.12,0.1195,False,408,0.0,1.0,0.2108,True,431.0,0.0,0.52,0.1884,True
7039b2d7,0.0,1.0,8.0,0.0,1.0,0.3123,True,4.0,0.0,0.0,0.0,True,115,0.0,1.0,0.5,True,288.0,0.0,0.0,0.0,True
7953d61e,0.0,1.0,3.0,0.0,1.0,0.5998,False,8.0,0.4375,0.4531,0.4469,False,267,0.0,1.0,0.0418,True,,,,,
7bb29440,0.0,1.0,5.0,0.0,1.0,0.4169,True,2.0,0.0,0.0,0.0,True,15,0.0,1.0,0.5,True,462.0,0.0,0.0,0.0,True
833dafe3,0.0,1.0,9.0,0.0,1.0,0.7683,False,1.0,0.0,0.0,0.0,True,237,0.0,1.0,0.0715,True,3.0,0.0,0.9375,0.0587,True
84db8fc4,0.65,0.35,2.0,-0.4429,1.0,0.2539,True,4.0,0.2,0.2857,0.3158,False,870,0.0,1.0,0.6649,True,21.0,0.0,0.6571,0.575,True
84f2aca1,0.955128,0.044872,7.0,-21.2857,1.0,-0.8949,True,2.0,-3.9286,-4.0,-3.9976,False,642,0.0,1.0,0.6429,True,185.0,0.0,0.5714,0.3393,True
8597cfd7,0.0,1.0,11.0,0.0,1.0,0.5,True,1.0,0.0,0.0,0.0,True,311,0.0,1.0,0.5,True,273.0,0.0,0.0,0.0,True
8fbca751,0.739583,0.260417,8.0,-2.84,1.0,0.4256,True,2.0,-0.52,-0.52,-0.52,True,75,0.0,1.0,0.06,False,204.0,0.0,0.76,0.38,True
903d1b4a,0.921875,0.078125,15.0,-11.8,1.0,0.2047,True,3.0,-0.25,-0.25,-0.25,True,1,0.0,1.0,0.4,True,,,,,
929ab4e9,0.942708,0.057292,2.0,-16.4545,1.0,-6.9104,False,6.0,-0.0909,-0.0303,-0.0436,False,100,0.0,1.0,0.5171,True,237.0,0.0,0.9091,0.6009,True
94133066,0.0,1.0,2.0,0.0,1.0,0.6678,False,6.0,0.0,0.0,0.0,True,244,0.0,1.0,0.25,True,,,,,
9a4bb226,0.0,1.0,7.0,0.0,1.0,0.4992,True,3.0,0.0,0.0,0.0,True,15,0.0,1.0,0.5,True,803.0,0.0,0.3333,0.1667,True
9b4c17c4,0.802469,0.197531,5.0,-4.0625,-4.0625,-4.0625,True,1.0,-4.0625,-4.0625,-4.0625,True,18,0.0,1.0,-2.008,False,,,,,
ae58858e,0.8125,0.1875,7.0,-4.3333,1.0,-0.2662,True,3.0,0.0,0.0,0.0,True,241,0.0,1.0,0.5,True,182.0,0.0,0.6667,0.3333,True
bc4146bd,0.0,1.0,5.0,0.0,1.0,0.4968,False,7.0,0.0,0.1875,0.0913,True,173,0.0,1.0,0.0847,False,,,,,
be03b35f,0.0,1.0,7.0,0.0,1.0,0.4,True,3.0,0.5,0.5,0.375,False,524,0.0,1.0,0.125,True,9.0,0.0,0.5,0.0833,True
cd3c21df,0.0,1.0,11.0,0.0,1.0,0.4286,True,1.0,0.0,0.0,0.0,True,71,0.0,1.0,0.5,True,634.0,0.0,0.0,0.0,True
d19f7514,0.0,1.0,4.0,0.0,1.0,0.6209,True,9.0,0.7917,0.6667,0.4901,False,554,0.0,1.0,0.4323,True,4.0,0.0,0.75,0.5166,False
d4b1c2b1,0.0,1.0,6.0,0.0,1.0,0.2953,False,6.0,0.0,0.0,0.0,True,204,0.0,1.0,0.25,True,157.0,0.0,0.0,0.0,True
e0fb7511,0.804734,0.195266,7.0,-4.1212,1.0,0.0556,False,3.0,0.3333,0.2727,0.303,False,510,0.0,1.0,0.5,True,14.0,0.0,0.7576,0.3788,True
e133d23d,0.0,1.0,6.0,0.2222,1.0,0.5997,False,4.0,0.2222,0.2222,0.137,False,589,0.0,1.0,0.3889,True,120.0,0.0,0.6667,0.3324,False
e345f17b,0.0,1.0,5.0,0.0,1.0,0.6876,False,4.0,0.375,0.7188,0.5728,False,761,0.0,1.0,0.45,False,2.0,0.0,0.4375,0.2891,False
e66aafb8,0.0,1.0,10.0,0.0,1.0,0.5,True,3.0,0.0,0.1111,0.1402,False,672,0.0,1.0,0.3606,False,84.0,0.0,0.0,0.261,False
e7639916,0.82967,0.17033,8.0,-4.871,1.0,0.2789,True,3.0,-4.871,-4.871,-4.871,True,588,0.0,1.0,0.5,True,139.0,0.0,-0.9677,-0.3387,False
e872b94a,0.0,1.0,9.0,0.0,1.0,0.5,True,6.0,0.0,0.0,0.0,True,2,0.0,1.0,0.4167,True,288.0,0.0,0.0,0.0,True
ed74f2f2,0.0,1.0,7.0,0.2222,1.0,0.6111,True,4.0,0.1667,0.0556,0.0609,False,152,0.0,1.0,0.0715,True,547.0,0.0,0.0,0.0,True
ed98d772,0.0,1.0,3.0,0.0,1.0,0.6761,False,7.0,0.6667,0.6111,0.6045,False,294,0.0,1.0,0.0455,True,312.0,0.0,0.8889,0.0474,True
f0df5ff0,0.804444,0.195556,7.0,-4.1136,1.0,0.435,False,2.0,-1.9091,-0.0682,-0.0451,False,685,0.0,1.0,0.25,True,15.0,0.0,-0.0455,-0.2283,False
f4081712,0.0,1.0,8.0,0.0,1.0,0.4527,True,4.0,0.0,0.0,0.0,True,563,0.0,1.0,0.3,True,126.0,0.0,0.5,0.164,False
f5aa3634,0.0,1.0,12.0,0.0,1.0,0.3979,True,2.0,0.0,0.0,0.0,True,179,0.0,1.0,0.75,True,423.0,0.0,0.0,0.0,True
