task_id,difficulty_category,human_success_auc,codeit_success_auc,human_success_steps90,codeit_success_steps90,human_failed_auc,codeit_failed_auc,human_success_n,codeit_success_n,human_failed_n,codeit_failed_n
00576224,Only hard for AI,0.47516976725730947,0.16666666666666685,0.9090909090909092,0.8787878787878789,0.28224160799918385,0.24440108152229373,5,332,1,29
009d5c81,Easy for both,0.4643467503315988,0.3381861544740333,0.888888888888889,0.7777777777777778,-2.4687500000000004,0.12164256198347084,7,150,2,747
070dd51e,Easy for both,0.32400348327057316,0.32945736434108525,0.9292929292929294,0.9393939393939394,0.6395336973208716,0.2906976744186046,9,477,3,18
0934a4d8,Hard for both,0.4478775786295428,0.5000000000000001,0.9292929292929294,0.6363636363636365,0.12037037037037038,0.37683985383199764,1,125,8,6
0c786b71,Only hard for AI,0.46900826446281,0.1426895214774003,0.9090909090909092,0.9090909090909092,0.10326911794714827,,8,343,4,0
0c9aba6e,Hard for both,0.7291666666666666,0.3890079243614598,0.8181818181818182,0.9191919191919192,0.7295694742033126,,1,536,8,0
12eac192,Hard for both,0.23952980093330975,0.5394696566945372,0.9191919191919192,0.888888888888889,0.10526315789473688,0.31359044995408636,3,289,5,19
15696249,Only hard for humans,0.7874574400949261,0.15744992007618283,0.7272727272727273,0.9797979797979799,0.4446182740234368,0.1259395299799341,9,188,6,119
195ba7dc,Only hard for humans,0.632256912559943,0.45975240621705277,0.888888888888889,0.9292929292929294,0.3106162636465667,0.39805802129034457,4,527,6,10
19bb5feb,Easy for both,0.3303489439853077,0.10004081216202433,0.9494949494949496,0.98989898989899,,0.06255739210284673,9,759,0,31
1a2e2828,Easy for both,0.16666666666666677,0.25002550760126524,0.9696969696969697,0.9595959595959597,0.0,0.0,6,57,2,554
27f8ce4f,Hard for both,0.6364376398981713,0.13976590950029041,0.8787878787878789,0.9797979797979799,0.3333333333333332,0.12838511061481514,2,404,3,105
3194b014,Easy for both,0.5000000000000001,0.25002550760126524,0.9090909090909092,0.9595959595959597,0.0,0.0,10,725,1,44
31d5ba1a,Only hard for humans,,0.2604190048634494,,0.9696969696969697,0.4561405298779036,0.0533278917117301,0,330,9,1
32e9702f,Hard for both,0.5081433017039079,0.321198671749636,0.8989898989898991,0.9494949494949496,0.031250000000000014,0.4548671981523222,6,406,6,94
34b99a2b,Hard for both,0.975,0.33001734516886044,0.0,0.9595959595959597,0.47469518416488116,0.28749107233955734,1,115,8,1
358ba94e,Easy for both,0.5217079889807164,0.7499744923987347,0.8787878787878789,0.4545454545454546,0.0,0.5637690031629428,9,290,1,415
48131b3c,Hard for both,0.5384527089072545,0.12503826140189786,0.888888888888889,0.9797979797979799,0.0,0.07292623201714114,6,119,6,158
