task_id,difficulty_category,pair,l2_distance,pearson_r,pearson_p,n_a,n_b
00576224,Only hard for AI,human_success_vs_codeit_success,4.0161,0.692,0.0,5,332
00576224,Only hard for AI,human_failed_vs_codeit_failed,3.7162,0.3532,0.0003,1,29
00576224,Only hard for AI,human_success_vs_human_failed,3.8757,0.1556,0.1222,5,1
00576224,Only hard for AI,codeit_success_vs_codeit_failed,2.3127,0.83,0.0,332,29
009d5c81,Easy for both,human_success_vs_codeit_success,7.039,0.4309,0.0,7,150
009d5c81,Easy for both,human_failed_vs_codeit_failed,25.9147,,,2,747
009d5c81,Easy for both,human_success_vs_human_failed,30.0721,,,7,2
009d5c81,Easy for both,codeit_success_vs_codeit_failed,4.2513,0.648,0.0,150,747
070dd51e,Easy for both,human_success_vs_codeit_success,11.4453,0.3852,0.0001,9,477
070dd51e,Easy for both,human_failed_vs_codeit_failed,4.7759,-0.2787,0.005,3,18
070dd51e,Easy for both,human_success_vs_human_failed,12.7867,0.2318,0.0203,9,3
070dd51e,Easy for both,codeit_success_vs_codeit_failed,0.4095,0.9994,0.0,477,18
0934a4d8,Hard for both,human_success_vs_codeit_success,2.5875,0.8577,0.0,1,125
0934a4d8,Hard for both,human_failed_vs_codeit_failed,4.1181,0.9327,0.0,8,6
0934a4d8,Hard for both,human_success_vs_human_failed,4.1794,0.8058,0.0,1,8
0934a4d8,Hard for both,codeit_success_vs_codeit_failed,1.8659,0.975,0.0,125,6
0c786b71,Only hard for AI,human_success_vs_codeit_success,4.1409,0.6654,0.0,8,343
0c786b71,Only hard for AI,human_success_vs_human_failed,4.724,0.2044,0.0414,8,4
0c9aba6e,Hard for both,human_success_vs_codeit_success,3.8012,0.9499,0.0,1,536
0c9aba6e,Hard for both,human_success_vs_human_failed,1.3086,0.7564,0.0,1,8
12eac192,Hard for both,human_success_vs_codeit_success,6.6005,0.8216,0.0,3,289
12eac192,Hard for both,human_failed_vs_codeit_failed,2.7538,,,5,19
12eac192,Hard for both,human_success_vs_human_failed,8.0907,,,3,5
12eac192,Hard for both,codeit_success_vs_codeit_failed,2.5257,0.9975,0.0,289,19
15696249,Only hard for humans,human_success_vs_codeit_success,6.69,0.4748,0.0,9,188
15696249,Only hard for humans,human_failed_vs_codeit_failed,3.5191,0.7179,0.0,6,119
15696249,Only hard for humans,human_success_vs_human_failed,3.8194,0.8407,0.0,9,6
15696249,Only hard for humans,codeit_success_vs_codeit_failed,0.8811,0.9903,0.0,188,119
195ba7dc,Only hard for humans,human_success_vs_codeit_success,2.1185,0.9067,0.0,4,527
195ba7dc,Only hard for humans,human_failed_vs_codeit_failed,2.2175,0.3137,0.0015,6,10
195ba7dc,Only hard for humans,human_success_vs_human_failed,3.8664,0.0616,0.5427,4,6
195ba7dc,Only hard for humans,codeit_success_vs_codeit_failed,1.3436,0.9089,0.0,527,10
19bb5feb,Easy for both,human_success_vs_codeit_success,3.2517,0.7151,0.0,9,759
19bb5feb,Easy for both,codeit_success_vs_codeit_failed,0.8872,0.9886,0.0,759,31
1a2e2828,Easy for both,human_success_vs_codeit_success,1.3546,0.9452,0.0,6,57
1a2e2828,Easy for both,human_failed_vs_codeit_failed,0.0,,,2,554
1a2e2828,Easy for both,human_success_vs_human_failed,3.3919,,,6,2
1a2e2828,Easy for both,codeit_success_vs_codeit_failed,4.1235,,,57,554
27f8ce4f,Hard for both,human_success_vs_codeit_success,5.581,0.4725,0.0,2,404
27f8ce4f,Hard for both,human_failed_vs_codeit_failed,3.1476,,,3,105
27f8ce4f,Hard for both,human_success_vs_human_failed,4.0398,,,2,3
27f8ce4f,Hard for both,codeit_success_vs_codeit_failed,0.4814,0.9826,0.0,404,105
3194b014,Easy for both,human_success_vs_codeit_success,2.8721,0.8945,0.0,10,725
3194b014,Easy for both,human_failed_vs_codeit_failed,0.0,,,1,44
3194b014,Easy for both,human_success_vs_human_failed,5.7881,,,10,1
3194b014,Easy for both,codeit_success_vs_codeit_failed,4.1235,,,725,44
31d5ba1a,Only hard for humans,human_failed_vs_codeit_failed,4.0973,-0.3872,0.0001,9,1
31d5ba1a,Only hard for humans,codeit_success_vs_codeit_failed,3.5292,-0.5349,0.0,330,1
32e9702f,Hard for both,human_success_vs_codeit_success,2.0749,0.9493,0.0,6,406
32e9702f,Hard for both,human_failed_vs_codeit_failed,5.8275,-0.9366,0.0,6,94
32e9702f,Hard for both,human_success_vs_human_failed,5.5763,-0.9998,0.0,6,6
32e9702f,Hard for both,codeit_success_vs_codeit_failed,2.4384,0.8649,0.0,406,94
34b99a2b,Hard for both,human_success_vs_codeit_success,6.8776,0.8865,0.0,1,115
34b99a2b,Hard for both,human_failed_vs_codeit_failed,2.6302,-0.7235,0.0,8,1
34b99a2b,Hard for both,human_success_vs_human_failed,5.0228,-0.6852,0.0,1,8
34b99a2b,Hard for both,codeit_success_vs_codeit_failed,1.7224,0.776,0.0,115,1
358ba94e,Easy for both,human_success_vs_codeit_success,2.5868,0.9228,0.0,9,290
358ba94e,Easy for both,human_failed_vs_codeit_failed,6.0867,,,1,415
358ba94e,Easy for both,human_success_vs_human_failed,6.0638,,,9,1
358ba94e,Easy for both,codeit_success_vs_codeit_failed,2.2222,0.9575,0.0,290,415
48131b3c,Hard for both,human_success_vs_codeit_success,4.6519,0.6748,0.0,6,119
48131b3c,Hard for both,human_failed_vs_codeit_failed,1.6444,,,6,158
48131b3c,Hard for both,human_success_vs_human_failed,6.0697,,,6,6
48131b3c,Hard for both,codeit_success_vs_codeit_failed,1.3374,0.9926,0.0,119,158
48f8583b,Hard for both,human_success_vs_codeit_success,6.3604,0.5557,0.0,6,178
48f8583b,Hard for both,human_failed_vs_codeit_failed,3.659,0.5958,0.0,10,61
48f8583b,Hard for both,human_success_vs_human_failed,3.689,0.3702,0.0001,6,10
48f8583b,Hard for both,codeit_success_vs_codeit_failed,0.2171,0.9996,0.0,178,61
506d28a5,Only hard for humans,human_success_vs_codeit_success,1.9529,0.9268,0.0,3,693
506d28a5,Only hard for humans,human_success_vs_human_failed,4.2235,-0.2525,0.0113,3,4
59341089,Only hard for AI,human_success_vs_codeit_success,4.1557,0.6609,0.0,9,532
59341089,Only hard for AI,human_failed_vs_codeit_failed,3.4251,,,2,1
59341089,Only hard for AI,human_success_vs_human_failed,3.1712,,,9,2
59341089,Only hard for AI,codeit_success_vs_codeit_failed,2.2794,0.7771,0.0,532,1
5d2a5c43,Hard for both,human_success_vs_codeit_success,2.3294,0.7863,0.0,2,268
5d2a5c43,Hard for both,human_failed_vs_codeit_failed,3.1415,0.4372,0.0,6,1
5d2a5c43,Hard for both,human_success_vs_human_failed,2.1279,0.5414,0.0,2,6
5d2a5c43,Hard for both,codeit_success_vs_codeit_failed,1.5908,0.8936,0.0,268,1
60c09cac,Only hard for humans,human_success_vs_codeit_success,3.2166,0.7908,0.0,5,656
60c09cac,Only hard for humans,human_failed_vs_codeit_failed,2.8546,0.1991,0.0471,4,5
60c09cac,Only hard for humans,human_success_vs_human_failed,5.2657,0.8075,0.0,5,4
60c09cac,Only hard for humans,codeit_success_vs_codeit_failed,3.0823,0.895,0.0,656,5
62ab2642,Only hard for AI,human_success_vs_codeit_success,12.3888,0.9757,0.0,5,96
62ab2642,Only hard for AI,human_failed_vs_codeit_failed,13.0294,0.3238,0.001,1,46
62ab2642,Only hard for AI,human_success_vs_human_failed,11.6266,0.4223,0.0,5,1
62ab2642,Only hard for AI,codeit_success_vs_codeit_failed,1.1119,0.9825,0.0,96,46
642d658d,Easy for both,human_success_vs_codeit_success,3.4043,0.7566,0.0,5,20
642d658d,Easy for both,human_failed_vs_codeit_failed,0.0,,,1,153
642d658d,Easy for both,human_success_vs_human_failed,3.3919,,,5,1
642d658d,Easy for both,codeit_success_vs_codeit_failed,5.5155,,,20,153
66f2d22f,Only hard for humans,human_success_vs_codeit_success,5.8366,0.682,0.0,4,534
66f2d22f,Only hard for humans,human_success_vs_human_failed,8.7621,,,4,7
67b4a34d,Only hard for humans,human_success_vs_codeit_success,2.2481,0.8944,0.0,4,633
67b4a34d,Only hard for humans,human_failed_vs_codeit_failed,1.9178,0.198,0.0483,4,20
67b4a34d,Only hard for humans,human_success_vs_human_failed,4.7336,-0.0237,0.8152,4,4
67b4a34d,Only hard for humans,codeit_success_vs_codeit_failed,2.9174,1.0,0.0,633,20
68b67ca3,Easy for both,human_success_vs_codeit_success,1.2862,1.0,0.0,10,623
68b67ca3,Easy for both,human_failed_vs_codeit_failed,7.8164,,,2,10
68b67ca3,Easy for both,human_success_vs_human_failed,6.5183,,,10,2
68b67ca3,Easy for both,codeit_success_vs_codeit_failed,2.7464,0.848,0.0,623,10
6df30ad6,Easy for both,human_success_vs_codeit_success,7.2583,0.3907,0.0001,12,408
6df30ad6,Easy for both,human_failed_vs_codeit_failed,5.2683,0.1209,0.231,2,431
6df30ad6,Easy for both,human_success_vs_human_failed,10.2445,-0.1746,0.0822,12,2
6df30ad6,Easy for both,codeit_success_vs_codeit_failed,1.2327,0.9401,0.0,408,431
7039b2d7,Only hard for AI,human_success_vs_codeit_success,2.2084,0.9422,0.0,8,115
7039b2d7,Only hard for AI,human_failed_vs_codeit_failed,0.0,,,4,288
7039b2d7,Only hard for AI,human_success_vs_human_failed,4.6528,,,8,4
7039b2d7,Only hard for AI,codeit_success_vs_codeit_failed,5.7881,,,115,288
7953d61e,Hard for both,human_success_vs_codeit_success,5.9915,0.4184,0.0,3,267
7953d61e,Hard for both,human_success_vs_human_failed,2.8071,0.6438,0.0,3,8
