task_id,difficulty_category,pair,dtw_distance,dtw_ci_lo,dtw_ci_hi,l2_distance,dtw_l2_ratio,n_a,n_b
00576224,Only hard for AI,human_success_vs_codeit_success,3.2139,2.2883,6.4071,4.0161,0.8003,5,332
00576224,Only hard for AI,human_failed_vs_codeit_failed,2.8775,,,3.7162,0.7743,1,29
00576224,Only hard for AI,human_success_vs_human_failed,3.1738,,,3.8757,0.8189,5,1
00576224,Only hard for AI,codeit_success_vs_codeit_failed,0.527,,,2.3127,0.2279,332,29
009d5c81,Easy for both,human_success_vs_codeit_success,6.7514,2.7199,11.7555,7.039,0.9591,7,150
009d5c81,Easy for both,human_failed_vs_codeit_failed,25.9147,,,25.9147,1.0,2,747
009d5c81,Easy for both,human_success_vs_human_failed,30.0721,,,30.0721,1.0,7,2
009d5c81,Easy for both,codeit_success_vs_codeit_failed,4.2184,,,4.2513,0.9923,150,747
070dd51e,Easy for both,human_success_vs_codeit_success,11.3664,7.3235,17.3845,11.4453,0.9931,9,477
070dd51e,Easy for both,human_failed_vs_codeit_failed,4.751,3.8218,35.3319,4.7759,0.9948,3,18
070dd51e,Easy for both,human_success_vs_human_failed,12.7793,9.5258,19.5567,12.7867,0.9994,9,3
070dd51e,Easy for both,codeit_success_vs_codeit_failed,0.1723,,,0.4095,0.4208,477,18
0934a4d8,Hard for both,human_success_vs_codeit_success,1.588,,,2.5875,0.6137,1,125
0934a4d8,Hard for both,human_failed_vs_codeit_failed,4.1085,0.0,6.3992,4.1181,0.9977,8,6
0934a4d8,Hard for both,human_success_vs_human_failed,4.1693,,,4.1794,0.9976,1,8
0934a4d8,Hard for both,codeit_success_vs_codeit_failed,1.2549,,,1.8659,0.6725,125,6
0c786b71,Only hard for AI,human_success_vs_codeit_success,3.2979,2.9686,8.1068,4.1409,0.7964,8,343
0c786b71,Only hard for AI,human_success_vs_human_failed,4.6146,2.9436,7.1713,4.724,0.9769,8,4
0c9aba6e,Hard for both,human_success_vs_codeit_success,3.3586,,,3.8012,0.8836,1,536
0c9aba6e,Hard for both,human_success_vs_human_failed,1.2413,,,1.3086,0.9486,1,8
12eac192,Hard for both,human_success_vs_codeit_success,6.3489,3.3946,6.3489,6.6005,0.9619,3,289
12eac192,Hard for both,human_failed_vs_codeit_failed,2.7538,0.6812,5.0458,2.7538,1.0,5,19
12eac192,Hard for both,human_success_vs_human_failed,8.0907,5.8202,8.8862,8.0907,1.0,3,5
12eac192,Hard for both,codeit_success_vs_codeit_failed,2.116,,,2.5257,0.8378,289,19
15696249,Only hard for humans,human_success_vs_codeit_success,6.0201,4.8716,6.0201,6.69,0.8999,9,188
15696249,Only hard for humans,human_failed_vs_codeit_failed,3.3386,1.6953,4.1491,3.5191,0.9487,6,119
15696249,Only hard for humans,human_success_vs_human_failed,3.7021,2.81,6.3681,3.8194,0.9693,9,6
15696249,Only hard for humans,codeit_success_vs_codeit_failed,0.6044,,,0.8811,0.686,188,119
195ba7dc,Only hard for humans,human_success_vs_codeit_success,1.7622,0.299,6.0485,2.1185,0.8318,4,527
195ba7dc,Only hard for humans,human_failed_vs_codeit_failed,2.1522,1.3682,3.8979,2.2175,0.9706,6,10
195ba7dc,Only hard for humans,human_success_vs_human_failed,3.7747,1.9688,7.1699,3.8664,0.9763,4,6
195ba7dc,Only hard for humans,codeit_success_vs_codeit_failed,1.2477,,,1.3436,0.9286,527,10
19bb5feb,Easy for both,human_success_vs_codeit_success,2.2777,1.8892,2.3893,3.2517,0.7005,9,759
19bb5feb,Easy for both,codeit_success_vs_codeit_failed,0.3748,,,0.8872,0.4225,759,31
