task_id,baseline
00576224,0.0
009d5c81,0.836735
00dbd492,0.78
03560426,0.71
05a7bcf2,0.581111
0607ce86,0.901515
0692e18c,0.0
070dd51e,0.8925
08573cc6,0.461538
0934a4d8,0.0
09c534e7,0.854444
0a1d4ef5,0.0
0a2355a6,0.662745
0b17323b,0.991111
0bb8deee,0.0
0becf7df,0.77
0c786b71,0.0
0c9aba6e,0.0
0d87d2a6,0.706087
0e671a1a,0.87574
0f63c0b9,0.537778
103eff5b,0.807692
11e1fe23,0.97619
12422b43,0.857143
12997ef3,0.0
12eac192,0.703125
136b0064,0.0
13713586,0.517544
137f0df0,0.56
140c817e,0.443878
14754a24,0.958449
15113be4,0.971645
15663ba9,0.866667
15696249,0.0
16b78196,0.892222
17b80ad2,0.865052
17cae0c1,0.0
18419cfa,0.976648
184a9768,0.867692
195ba7dc,0.0
1990f7a8,0.0
19bb5feb,0.0
1a2e2828,0.0
1a6449f1,0.0
1acc24af,0.916667
1c02dbbe,0.48
1c0d0a4b,0.52071
1c56ad9f,0.84
1d0a4b61,0.8864
1d398264,0.784722
1da012fc,0.915789
1e81d6f9,0.982222
1e97544e,0.862004
2037f2c7,0.0
2072aba6,0.0
20818e16,0.0
20981f0e,0.900452
212895b5,0.925466
21f83797,0.538462
22a4bbc2,0.738636
25094a63,0.853333
2546ccf6,0.976589
256b0a75,0.498462
2685904e,0.88
2697da3f,0.0
2753e76c,0.0
27a77e38,0.987654
27f8ce4f,0.0
281123b4,0.0
292dd178,0.872727
29700607,0.735537
2a5f8217,0.87574
2b01abd0,0.901786
2c0b0aff,0.0
2c737e39,0.909091
2f0c5170,0.0
310f3251,0.0
3194b014,0.0
319f2597,0.84
31adaf00,0.75
31d5ba1a,0.0
32e9702f,0.12
332efdb3,0.206612
3391f8c0,0.766234
33b52de3,0.73535
3490cc26,0.901186
34b99a2b,0.0
351d6448,0.0
358ba94e,0.0
37d3e8b2,0.555556
3979b1a8,0.0
3a301edc,0.637188
3b4c2228,0.0
3d31c5b3,0.0
3ed85e70,0.971111
3ee1011a,0.0
3f23242b,0.712074
40f6cd08,0.75
414297c0,0.0
423a55dc,0.811189
42918530,0.9552
42a15761,0.961722
4364c1c4,0.89011
456873bc,0.767313
45737921,0.75
45bbe264,0.653333
477d2879,0.035503
47996f11,0.842222
48131b3c,0.0
4852f2fa,0.0
48f8583b,0.0
4aab4007,0.839286
4acc7107,0.57
4b6b68e5,0.759615
4c177718,0.0
4cd1b7b2,0.625
4e45f183,0.833795
4e469f39,0.8
4f537728,0.885
4ff4c9da,0.975309
505fff84,0.0
506d28a5,0.0
50a16a69,0.0
50aad11f,0.0
50f325b5,0.955882
516b51b7,0.729412
5207a7b5,0.688889
5289ad53,0.0
52fd389e,0.643282
54db823b,0.866667
55059096,0.963801
551d5bf1,0.748521
55783887,0.917763
575b1a71,0.92
5783df64,0.0
5833af48,0.0
58743b76,0.928571
58e15b12,0.860417
59341089,0.0
5a5a2103,0.6875
