task_id,n_success_traces,n_success_prog_str_unique,n_failed_traces,n_failed_unique_before_cap,success_seed17,success_seed42,success_seed123,failed_seed17,failed_seed42,failed_seed123,failed_hhi,n_success_exec_errors,n_failed_exec_errors
00576224,375,1117,3,3,170,0,205,1,0,2,0.5556,0,0
009d5c81,54,198,239,239,26,18,10,108,41,90,0.3754,0,0
00dbd492,0,0,201,201,0,0,0,77,59,65,0.3375,0,4
0692e18c,5,11,20,20,5,0,0,20,0,0,1.0,0,0
070dd51e,30,1010,38,38,15,7,8,7,27,4,0.5499,0,0
0934a4d8,85,145,40,40,9,25,51,36,4,0,0.82,0,0
0a2355a6,0,0,22,22,0,0,0,18,2,2,0.686,0,0
0b17323b,11,242,4,4,8,0,3,2,1,1,0.375,0,1
0c786b71,206,608,3,3,51,52,103,0,3,0,1.0,0,0
0c9aba6e,125,1684,2,2,96,14,15,1,1,0,0.5,0,0
12422b43,0,0,62,62,0,0,0,0,0,62,1.0,0,0
12eac192,20,955,43,43,11,6,3,17,17,9,0.3564,0,1
140c817e,1,1,0,0,1,0,0,0,0,0,,0,0
15696249,4,4,107,107,2,0,2,30,17,60,0.4183,0,0
17b80ad2,0,0,1,1,0,0,0,0,0,1,1.0,0,2
195ba7dc,270,1546,6,6,210,46,14,0,6,0,1.0,0,0
19bb5feb,284,1502,58,58,104,19,161,55,2,1,0.9007,0,2
1a2e2828,17,100,144,144,4,4,9,62,16,66,0.4078,0,14
1a6449f1,0,0,27,27,0,0,0,0,0,27,1.0,0,0
1acc24af,15,221,45,45,15,0,0,27,11,7,0.444,0,0
1d0a4b61,0,0,39,39,0,0,0,10,1,28,0.5819,0,0
1da012fc,0,0,51,51,0,0,0,0,8,43,0.7355,0,7
1e81d6f9,0,0,1,1,0,0,0,0,0,1,1.0,0,0
21f83797,2,66,0,0,0,0,2,0,0,0,,0,0
2546ccf6,0,0,55,55,0,0,0,42,0,13,0.639,0,0
27a77e38,0,0,18,18,0,0,0,15,0,3,0.7222,0,0
27f8ce4f,225,887,74,74,125,27,73,48,0,26,0.5442,0,1
292dd178,0,0,2,2,0,0,0,1,0,1,0.5,0,0
2a5f8217,0,0,209,209,0,0,0,47,86,76,0.3521,0,0
2c0b0aff,1,1,97,97,1,0,0,36,0,61,0.5332,0,1
310f3251,0,0,83,83,0,0,0,22,0,61,0.6104,0,0
3194b014,152,1461,44,44,18,24,110,26,3,15,0.47,0,2
31adaf00,0,0,1,1,0,0,0,0,0,1,1.0,0,0
31d5ba1a,51,642,2,2,31,1,19,2,0,0,1.0,0,0
