task_id,pair,trace_idx,baseline_group,score_min,score_median,n_codeit,len_human
00576224,pair1,0,A,7.0556,9.7222,375,52
00576224,pair1,1,A,6.3333,7.3333,375,20
00576224,pair1,2,A,6.0278,9.0278,375,41
00576224,pair1,3,A,6.3333,9.0,375,39
00576224,pair1,4,A,6.6944,6.6944,375,29
009d5c81,pair1,0,B,10.6875,10.6875,46,34
009d5c81,pair1,1,B,10.5938,15.5313,46,29
009d5c81,pair1,2,B,10.5938,15.5313,46,30
009d5c81,pair1,3,B,5.0938,5.4688,46,27
009d5c81,pair1,4,B,5.5938,5.7188,46,9
009d5c81,pair1,5,B,0.8438,1.3438,46,9
009d5c81,pair1,6,B,11.0,11.75,46,38
0692e18c,pair1,0,A,3.4568,3.4568,5,34
0692e18c,pair1,1,A,2.6543,2.6543,5,25
0692e18c,pair1,2,A,5.2346,6.1852,5,5
0692e18c,pair1,3,A,5.4568,5.4568,5,38
070dd51e,pair1,0,B,13.9767,13.9767,6,50
070dd51e,pair1,1,B,19.2558,19.2558,6,79
070dd51e,pair1,2,B,24.5349,24.5349,6,86
070dd51e,pair1,3,B,8.6744,9.093,6,9
070dd51e,pair1,4,B,20.907,27.4884,6,24
070dd51e,pair1,5,B,9.5581,9.5581,6,13
070dd51e,pair1,6,B,23.7907,23.7907,6,59
0934a4d8,pair1,0,A,10.2593,10.2593,80,39
0b17323b,pair1,0,B,223.4972,223.9972,2,6
0b17323b,pair1,1,B,224.9972,226.4972,2,10
0b17323b,pair1,2,B,117.9985,117.9985,2,8
0b17323b,pair1,3,B,224.4972,225.4972,2,8
0b17323b,pair1,4,B,117.4985,117.4985,2,6
0b17323b,pair1,5,B,224.9972,225.9972,2,10
0c786b71,pair1,0,A,12.4583,12.4583,206,53
0c786b71,pair1,1,A,12.125,12.125,206,53
0c786b71,pair1,2,A,12.9375,12.9375,206,64
0c786b71,pair1,3,A,3.6667,6.2083,206,9
0c786b71,pair1,4,A,11.4792,11.4792,206,43
0c786b71,pair1,5,A,5.875,5.875,206,29
0c786b71,pair1,6,A,12.1875,12.1875,206,56
0c9aba6e,pair1,0,A,1.7083,2.1458,124,14
12eac192,pair1,0,B,7.7895,7.8421,8,23
12eac192,pair1,1,B,4.7895,4.8421,8,23
12eac192,pair1,2,B,7.7895,7.8421,8,23
140c817e,pair1,0,B,28.8532,28.8532,1,118
140c817e,pair1,1,B,9.734,9.734,1,68
140c817e,pair1,2,B,27.5872,27.5872,1,133
140c817e,pair1,3,B,10.0551,10.0551,1,40
140c817e,pair1,4,B,7.6055,7.6055,1,40
140c817e,pair1,5,B,11.1927,11.1927,1,38
140c817e,pair1,6,B,28.6422,28.6422,1,124
140c817e,pair1,7,B,7.4862,7.4862,1,32
15696249,pair1,0,A,4.6667,4.7778,4,30
15696249,pair1,1,A,1.5556,1.6667,4,23
15696249,pair1,2,A,4.6667,4.7778,4,30
15696249,pair1,3,A,7.7654,11.5432,4,52
15696249,pair1,4,A,5.3333,5.6667,4,37
15696249,pair1,5,A,4.6667,4.7778,4,32
15696249,pair1,6,A,4.6667,4.7778,4,30
15696249,pair1,7,A,4.6667,4.7778,4,30
15696249,pair1,8,A,4.6667,4.7778,4,30
195ba7dc,pair1,0,A,0.6333,1.3,267,28
195ba7dc,pair1,1,A,1.4333,2.7,267,25
195ba7dc,pair1,2,A,13.8667,18.6,267,83
19bb5feb,pair1,0,A,1.25,1.25,283,8
19bb5feb,pair1,1,A,1.5,1.5,283,8
19bb5feb,pair1,2,A,1.0,1.0,283,7
19bb5feb,pair1,3,A,1.0,1.0,283,7
19bb5feb,pair1,4,A,1.25,1.25,283,8
19bb5feb,pair1,5,A,1.0,1.0,283,7
19bb5feb,pair1,6,A,1.0,1.0,283,7
19bb5feb,pair1,7,A,1.25,1.25,283,10
19bb5feb,pair1,8,A,1.0,1.0,283,8
1acc24af,pair1,0,B,1.6667,1.6667,4,13
1acc24af,pair1,1,B,47.5835,53.7502,4,53
1acc24af,pair1,2,B,12.0,12.0,4,9
27f8ce4f,pair1,0,A,7.2593,10.8889,225,62
27f8ce4f,pair1,1,A,8.3457,11.5062,225,77
2c0b0aff,pair1,0,A,5.075,5.075,1,32
2c0b0aff,pair1,1,A,5.075,5.075,1,33
2c0b0aff,pair1,2,A,27.3,27.3,1,111
2c0b0aff,pair1,3,A,5.275,5.275,1,35
2c0b0aff,pair1,4,A,0.125,0.125,1,6
2c0b0aff,pair1,5,A,4.075,4.075,1,35
3194b014,pair1,0,A,2.2222,2.2222,73,10
3194b014,pair1,1,A,2.2222,2.2222,73,10
3194b014,pair1,2,A,2.2222,2.2222,73,10
3194b014,pair1,3,A,2.2222,2.2222,73,10
3194b014,pair1,4,A,1.6667,1.6667,73,6
3194b014,pair1,5,A,1.3333,1.3333,73,8
358ba94e,pair1,0,A,6.0,6.0,7,24
358ba94e,pair1,1,A,1.36,3.56,7,7
358ba94e,pair1,2,A,6.0,6.0,7,24
358ba94e,pair1,3,A,1.44,1.44,7,11
358ba94e,pair1,4,A,1.72,1.72,7,12
358ba94e,pair1,5,A,1.28,1.28,7,11
358ba94e,pair1,6,A,1.08,3.6,7,5
358ba94e,pair1,7,A,6.0,6.0,7,26
3b4c2228,pair1,0,A,1.6667,1.6667,75,5
3b4c2228,pair1,1,A,1.7778,1.7778,75,10
3b4c2228,pair1,2,A,0.8889,0.8889,75,6
48131b3c,pair1,0,A,5.8125,7.7188,44,47
48131b3c,pair1,1,A,9.1562,27.3125,44,83
48131b3c,pair1,2,A,6.1875,12.0938,44,48
48131b3c,pair1,3,A,3.4375,4.8281,44,35
48131b3c,pair1,4,A,1.7812,5.3594,44,26
48131b3c,pair1,5,A,5.375,7.2812,44,38
48f8583b,pair1,0,A,9.5185,9.9383,149,92
48f8583b,pair1,1,A,4.9383,6.321,149,10
48f8583b,pair1,2,A,5.0123,7.0988,149,44
48f8583b,pair1,3,A,3.1235,3.321,149,26
48f8583b,pair1,4,A,4.7407,6.4815,149,41
48f8583b,pair1,5,A,4.9136,6.4321,149,41
506d28a5,pair1,0,A,0.35,1.05,117,11
506d28a5,pair1,1,A,0.35,1.05,117,12
506d28a5,pair1,2,A,1.85,2.6,117,53
59341089,pair1,0,A,5.0278,7.3056,165,35
59341089,pair1,1,A,7.2222,9.0,165,38
59341089,pair1,2,A,7.3889,9.3889,165,41
59341089,pair1,3,A,3.9444,5.2778,165,17
59341089,pair1,4,A,5.6667,5.9444,165,33
59341089,pair1,5,A,30.9444,32.7222,165,115
59341089,pair1,6,A,17.75,24.0833,165,64
59341089,pair1,7,A,5.9444,6.5556,165,35
59341089,pair1,8,A,12.0,13.1667,165,114
5d2a5c43,pair1,0,A,1.0417,1.5625,206,15
5d2a5c43,pair1,1,A,8.375,11.9583,206,62
60c09cac,pair1,0,A,4.71,4.71,24,35
60c09cac,pair1,1,A,7.14,7.14,24,43
60c09cac,pair1,2,A,6.3,6.3,24,39
60c09cac,pair1,3,A,3.9,3.9,24,5
60c09cac,pair1,4,A,4.78,4.78,24,45
62ab2642,pair1,0,B,6.1667,6.1667,1,14
62ab2642,pair1,1,B,5.25,5.25,1,5
62ab2642,pair1,2,B,39.4167,39.4167,1,41
62ab2642,pair1,3,B,6.1667,6.1667,1,16
642d658d,pair1,0,A,1.0,1.0,11,9
66f2d22f,pair1,0,A,1.5357,1.5357,141,18
66f2d22f,pair1,1,A,1.1786,1.1786,141,14
67b4a34d,pair1,0,A,3.4375,4.8125,212,25
67b4a34d,pair1,1,A,3.25,4.0,212,20
67b4a34d,pair1,2,A,1.8125,2.5625,212,6
67b4a34d,pair1,3,A,3.4375,4.1875,212,24
68b67ca3,pair1,0,A,0.2222,0.2222,15,22
68b67ca3,pair1,1,A,1.8889,2.2222,15,8
68b67ca3,pair1,2,A,2.5556,3.1111,15,12
68b67ca3,pair1,3,A,1.8889,2.2222,15,8
68b67ca3,pair1,4,A,2.5556,3.4444,15,15
68b67ca3,pair1,5,A,1.8889,2.2222,15,8
68b67ca3,pair1,6,A,1.8889,2.2222,15,8
68b67ca3,pair1,7,A,1.4444,2.8889,15,5
68b67ca3,pair1,8,A,1.8889,2.2222,15,8
6df30ad6,pair1,0,B,4.44,7.44,77,15
6df30ad6,pair1,1,B,4.44,7.44,77,15
6df30ad6,pair1,2,B,5.2,5.4,77,36
6df30ad6,pair1,3,B,4.44,7.44,77,15
