task_id,pair,baseline_group,dtw_obs,ci_lo,ci_hi,n_human
00576224,pair1,A,6.6944,6.6944,9.7222,5
009d5c81,pair1,B,10.6875,5.4688,15.5313,7
070dd51e,pair1,B,13.9767,8.9302,24.5349,7
0b17323b,pair1,B,226.4972,117.4985,227.9972,6
0c786b71,pair1,A,5.875,5.875,12.4583,7
140c817e,pair1,B,9.734,9.734,28.8532,8
15696249,pair1,A,4.7778,4.7778,5.6667,9
19bb5feb,pair1,A,1.25,1.0,1.5,9
2c0b0aff,pair1,A,4.075,0.125,27.3,6
3194b014,pair1,A,2.2222,1.3333,2.2222,6
358ba94e,pair1,A,1.72,1.28,6.0,8
48131b3c,pair1,A,5.3594,5.3594,12.0938,6
48f8583b,pair1,A,3.321,3.321,7.0988,6
59341089,pair1,A,9.0,5.9444,9.3889,9
60c09cac,pair1,A,4.71,3.9,7.14,5
68b67ca3,pair1,A,2.2222,2.2222,3.1111,9
6df30ad6,pair1,B,7.44,6.12,7.44,10
6ea4a07e,pair1,A,1.2222,1.2222,1.2222,8
7bb29440,pair1,A,1.125,1.0417,6.0833,5
833dafe3,pair1,A,7.3203,7.3203,41.0742,9
8597cfd7,pair1,A,1.0,1.0,1.0,8
9a4bb226,pair1,A,2.8889,0.8889,2.8889,6
a59b95c0,pair1,A,4.0,1.375,36.9851,7
aa18de87,pair1,B,6.7692,5.0,6.7692,6
bbb1b8b6,pair1,A,2.0,1.1875,2.0,9
bc4146bd,pair1,A,5.9875,5.9875,13.8375,5
be03b35f,pair1,A,1.0,1.0,4.0,6
cd3c21df,pair1,A,1.5,1.5,1.5,11
d4b1c2b1,pair1,A,1.7778,1.3422,31.4328,6
e0fb7511,pair1,B,9.8485,9.8485,33.4243,7
e133d23d,pair1,A,1.2222,1.2222,1.6667,5
e345f17b,pair1,A,0.25,0.1875,1.8125,5
e66aafb8,pair1,A,2.2222,2.2222,2.5556,9
e7639916,pair1,B,12.9355,6.7097,17.6129,8
ed74f2f2,pair1,A,1.5556,0.7778,1.5556,7
f0df5ff0,pair1,B,21.1818,21.1818,29.0227,7
f4081712,pair1,A,6.0,6.0,6.4583,8
f5aa3634,pair1,A,2.5,2.1667,2.5,11
0934a4d8,pair2,A,0.0,0.0,2.5185,5
15696249,pair2,A,4.1111,0.6667,7.9383,5
1acc24af,pair2,B,0.5833,0.5,69.2107,6
31d5ba1a,pair2,A,1.5333,1.5333,3.8,5
48f8583b,pair2,A,2.4691,2.4691,5.0741,7
8e2edd66,pair2,A,5.3333,3.0864,9.4198,10
94133066,pair2,A,1.8923,1.8923,1.8923,5
ad7e01d0,pair2,A,8.888,0.0,46.36,8
b7f8a4d8,pair2,B,9.1146,9.1146,17.7499,7
ccd554ac,pair2,A,0.0,0.0,11.5704,6
d19f7514,pair2,A,4.9583,2.3333,5.5833,5
d4b1c2b1,pair2,A,0.0,0.0,0.0,5
