task_id,pair,group1,group2,baseline_group,dtw_medoid,n1,n2,len_medoid1,len_medoid2
00576224,pair1,human_success,codeit_success,A,6.6944,5,375,29,7
00576224,pair2,human_failed,codeit_failed,A,12.5278,1,3,52,9
00576224,pair3,human_success,human_failed,A,11.6667,5,1,29,52
00576224,pair4,codeit_success,codeit_failed,A,0.3333,375,3,7,9
009d5c81,pair1,human_success,codeit_success,B,10.6875,7,46,34,9
009d5c81,pair2,human_failed,codeit_failed,B,0.1875,1,203,27,7
009d5c81,pair3,human_success,human_failed,B,16.9375,7,1,34,27
009d5c81,pair4,codeit_success,codeit_failed,B,4.875,46,203,9,7
03560426,pair3,human_success,human_failed,B,6.3793,6,1,28,22
0607ce86,pair3,human_success,human_failed,B,17.1346,9,1,54,31
0692e18c,pair1,human_success,codeit_success,A,2.6543,4,5,25,9
0692e18c,pair2,human_failed,codeit_failed,A,5.1235,2,20,18,10
0692e18c,pair3,human_success,human_failed,A,5.3827,4,2,25,18
0692e18c,pair4,codeit_success,codeit_failed,A,0.5926,5,20,9,10
070dd51e,pair1,human_success,codeit_success,B,13.9767,7,6,50,6
070dd51e,pair4,codeit_success,codeit_failed,B,0.9767,6,10,6,5
08573cc6,pair3,human_success,human_failed,B,26.7912,2,1,36,58
0934a4d8,pair1,human_success,codeit_success,A,10.2593,1,80,39,5
0934a4d8,pair2,human_failed,codeit_failed,A,0.0,5,40,5,5
0934a4d8,pair3,human_success,human_failed,A,17.5185,1,5,39,5
0934a4d8,pair4,codeit_success,codeit_failed,A,1.0,80,40,5,5
0b17323b,pair1,human_success,codeit_success,B,226.4972,6,2,8,5
0b17323b,pair4,codeit_success,codeit_failed,B,28.9996,2,1,5,7
0bb8deee,pair3,human_success,human_failed,A,15.5833,8,2,24,60
0becf7df,pair3,human_success,human_failed,B,18.1304,9,2,25,13
0c786b71,pair1,human_success,codeit_success,A,5.875,7,206,29,5
0c786b71,pair2,human_failed,codeit_failed,A,8.6875,1,3,40,7
0c786b71,pair3,human_success,human_failed,A,9.9792,7,1,29,40
0c786b71,pair4,codeit_success,codeit_failed,A,0.125,206,3,5,7
0c9aba6e,pair1,human_success,codeit_success,A,2.0833,1,124,14,5
0c9aba6e,pair2,human_failed,codeit_failed,A,0.9583,3,2,12,5
0c9aba6e,pair3,human_success,human_failed,A,3.0833,1,3,14,12
0c9aba6e,pair4,codeit_success,codeit_failed,A,0.5417,124,2,5,5
0d87d2a6,pair3,human_success,human_failed,B,7.1834,5,1,12,28
0e671a1a,pair3,human_success,human_failed,B,37.6192,9,5,27,45
0f63c0b9,pair3,human_success,human_failed,B,13.9135,5,1,27,26
103eff5b,pair3,human_success,human_failed,B,53.0499,5,1,13,5
11e1fe23,pair3,human_success,human_failed,B,572.2386,8,1,7,14
12422b43,pair2,human_failed,codeit_failed,B,14.2,2,4,15,5
12422b43,pair3,human_success,human_failed,B,13.6,8,2,18,15
12997ef3,pair3,human_success,human_failed,A,3.6667,6,3,13,52
12eac192,pair1,human_success,codeit_success,B,7.8421,3,8,23,6
12eac192,pair4,codeit_success,codeit_failed,B,0.3158,8,1,6,5
136b0064,pair3,human_success,human_failed,A,5.8421,1,5,34,23
13713586,pair3,human_success,human_failed,B,20.503,4,1,65,8
137f0df0,pair3,human_success,human_failed,B,35.25,6,1,47,39
140c817e,pair1,human_success,codeit_success,B,9.734,8,1,68,5
140c817e,pair3,human_success,human_failed,B,81.578,8,1,68,49
14754a24,pair3,human_success,human_failed,B,32.6669,4,1,29,5
15113be4,pair3,human_success,human_failed,B,46.8673,7,2,19,13
15663ba9,pair3,human_success,human_failed,B,15.6875,5,1,34,5
15696249,pair1,human_success,codeit_success,A,4.7778,9,4,32,8
15696249,pair2,human_failed,codeit_failed,A,4.1111,5,107,20,7
15696249,pair3,human_success,human_failed,A,10.4691,9,5,32,20
15696249,pair4,codeit_success,codeit_failed,A,0.7778,4,107,8,7
16b78196,pair3,human_success,human_failed,B,145.1234,4,2,121,6
17b80ad2,pair3,human_success,human_failed,B,175.6924,7,2,41,162
17cae0c1,pair3,human_success,human_failed,A,14.0,4,2,30,10
18419cfa,pair3,human_success,human_failed,B,47.0581,4,1,19,6
184a9768,pair3,human_success,human_failed,B,60.4999,4,1,31,7
195ba7dc,pair1,human_success,codeit_success,A,2.8333,3,267,25,11
195ba7dc,pair2,human_failed,codeit_failed,A,6.9667,3,5,23,6
195ba7dc,pair3,human_success,human_failed,A,3.2,3,3,25,23
195ba7dc,pair4,codeit_success,codeit_failed,A,5.2667,267,5,11,6
19bb5feb,pair1,human_success,codeit_success,A,1.25,9,283,8,5
19bb5feb,pair4,codeit_success,codeit_failed,A,0.25,283,58,5,6
1a6449f1,pair2,human_failed,codeit_failed,A,0.0,3,21,6,5
1a6449f1,pair3,human_success,human_failed,A,23.49,7,3,29,6
1acc24af,pair1,human_success,codeit_success,B,12.0,3,4,9,6
1acc24af,pair2,human_failed,codeit_failed,B,0.5833,6,5,6,5
1acc24af,pair3,human_success,human_failed,B,13.4167,3,6,9,6
1acc24af,pair4,codeit_success,codeit_failed,B,0.8333,4,5,6,5
1d0a4b61,pair2,human_failed,codeit_failed,B,10.2676,2,37,5,7
1d0a4b61,pair3,human_success,human_failed,B,38.8732,5,2,78,5
1e81d6f9,pair3,human_success,human_failed,B,186.4977,4,2,37,5
2037f2c7,pair3,human_success,human_failed,A,8.75,6,1,45,9
2072aba6,pair3,human_success,human_failed,A,13.2222,6,2,19,7
20818e16,pair3,human_success,human_failed,A,2.5833,4,1,11,12
212895b5,pair3,human_success,human_failed,B,477.9177,3,1,38,5
21f83797,pair3,human_success,human_failed,B,5.0513,14,1,7,13
22a4bbc2,pair3,human_success,human_failed,B,19.4348,6,1,16,21
25094a63,pair3,human_success,human_failed,B,8.6288,8,1,5,8
2685904e,pair3,human_success,human_failed,B,14.9167,5,3,14,14
2753e76c,pair3,human_success,human_failed,A,7.6,8,1,13,12
27f8ce4f,pair1,human_success,codeit_success,A,10.8889,2,225,62,7
27f8ce4f,pair2,human_failed,codeit_failed,A,6.0741,1,74,55,8
27f8ce4f,pair3,human_success,human_failed,A,14.2716,2,1,62,55
27f8ce4f,pair4,codeit_success,codeit_failed,A,0.6667,225,74,7,8
281123b4,pair3,human_success,human_failed,A,4.0,6,1,19,17
29700607,pair3,human_success,human_failed,B,95.9062,9,1,40,40
2a5f8217,pair2,human_failed,codeit_failed,B,6.0476,1,198,7,5
2a5f8217,pair3,human_success,human_failed,B,22.9524,4,1,25,7
2b01abd0,pair3,human_success,human_failed,B,24.591,11,1,28,19
2c0b0aff,pair1,human_success,codeit_success,A,4.075,6,1,35,5
2c0b0aff,pair2,human_failed,codeit_failed,A,20.85,1,3,34,6
2c0b0aff,pair3,human_success,human_failed,A,11.875,6,1,35,34
2c0b0aff,pair4,codeit_success,codeit_failed,A,2.0,1,3,5,6
2c737e39,pair3,human_success,human_failed,B,10.2,8,3,14,10
310f3251,pair2,human_failed,codeit_failed,A,1.6181,2,83,5,7
310f3251,pair3,human_success,human_failed,A,12.4583,2,2,13,5
3194b014,pair1,human_success,codeit_success,A,2.2222,6,73,10,6
3194b014,pair4,codeit_success,codeit_failed,A,1.3333,73,5,6,5
319f2597,pair3,human_success,human_failed,B,38.4531,7,1,82,94
31d5ba1a,pair2,human_failed,codeit_failed,A,1.5333,5,2,9,5
31d5ba1a,pair4,codeit_success,codeit_failed,A,0.2,50,2,6,5
332efdb3,pair3,human_success,human_failed,B,6.9792,14,1,14,19
3391f8c0,pair3,human_success,human_failed,B,12.8056,8,3,27,12
3490cc26,pair3,human_success,human_failed,B,14.7,8,1,10,19
351d6448,pair3,human_success,human_failed,A,8.1795,5,2,13,5
358ba94e,pair1,human_success,codeit_success,A,1.72,8,7,12,5
358ba94e,pair2,human_failed,codeit_failed,A,3.64,1,4,7,6
358ba94e,pair3,human_success,human_failed,A,7.32,8,1,12,7
358ba94e,pair4,codeit_success,codeit_failed,A,1.04,7,4,5,6
37d3e8b2,pair3,human_success,human_failed,B,241.0002,2,2,140,11
3a301edc,pair3,human_success,human_failed,B,3.5125,9,1,6,10
