task_id,pair,group1,group2,baseline_group,dtw_median_curves,dtw_ci_lo,dtw_ci_hi,l2_median_curves
00576224,pair1,human_success,codeit_success,A,23.9736,15.773,51.8606,4.0803
00576224,pair2,human_failed,codeit_failed,A,19.0991,,,2.8561
00576224,pair3,human_success,human_failed,A,23.1613,,,3.8405
00576224,pair4,codeit_success,codeit_failed,A,2.2629,,,1.1372
009d5c81,pair1,human_success,codeit_success,B,21.6647,11.2569,44.4438,6.5255
009d5c81,pair2,human_failed,codeit_failed,B,198.9236,,,21.7147
009d5c81,pair3,human_success,human_failed,B,246.138,,,26.6251
009d5c81,pair4,codeit_success,codeit_failed,B,25.0919,,,4.224
00dbd492,pair2,human_failed,codeit_failed,B,180.6725,,,21.0358
00dbd492,pair3,human_success,human_failed,B,193.4272,,,23.6145
03560426,pair3,human_success,human_failed,B,51.6808,,,5.7277
0607ce86,pair3,human_success,human_failed,B,43.149,,,4.8094
0692e18c,pair1,human_success,codeit_success,A,42.5708,,,5.9866
0692e18c,pair2,human_failed,codeit_failed,A,22.4786,14.2196,35.6278,3.3948
0692e18c,pair3,human_success,human_failed,A,28.383,,,3.7492
0692e18c,pair4,codeit_success,codeit_failed,A,2.9511,,,1.3174
070dd51e,pair1,human_success,codeit_success,B,14.5816,9.964,62.0489,5.372
070dd51e,pair2,human_failed,codeit_failed,B,17.8778,,,2.6327
070dd51e,pair3,human_success,human_failed,B,22.6778,,,5.665
070dd51e,pair4,codeit_success,codeit_failed,B,18.7659,,,2.9324
08573cc6,pair3,human_success,human_failed,B,43.5117,,,5.0157
0934a4d8,pair1,human_success,codeit_success,A,24.5041,,,3.8348
0934a4d8,pair2,human_failed,codeit_failed,A,8.589,0.0,16.3776,0.9549
0934a4d8,pair3,human_success,human_failed,A,34.1565,,,4.2277
0934a4d8,pair4,codeit_success,codeit_failed,A,10.404,,,2.6662
09c534e7,pair3,human_success,human_failed,B,178.8797,,,22.1783
0a2355a6,pair2,human_failed,codeit_failed,B,12.8552,,,1.7141
0a2355a6,pair3,human_success,human_failed,B,13.8309,,,2.4279
0b17323b,pair1,human_success,codeit_success,B,2423.6616,1778.7573,3107.0353,442.913
0b17323b,pair2,human_failed,codeit_failed,B,84.3683,,,10.9433
0b17323b,pair3,human_success,human_failed,B,2517.9448,,,449.3243
0b17323b,pair4,codeit_success,codeit_failed,B,79.7015,,,12.7553
0bb8deee,pair3,human_success,human_failed,A,60.5235,,,6.6208
