task_id,pair,group1,group2,baseline_group,L2,pearson_r,pearson_p
00576224,pair1,human_success,codeit_success,A,4.0803,0.6675,0.0
00576224,pair2,human_failed,codeit_failed,A,2.8561,0.5693,0.0
00576224,pair3,human_success,human_failed,A,3.8405,0.1707,0.089485
00576224,pair4,codeit_success,codeit_failed,A,1.1372,0.9422,0.0
009d5c81,pair1,human_success,codeit_success,B,6.5255,0.5212,0.0
009d5c81,pair2,human_failed,codeit_failed,B,21.7147,-0.858,0.0
009d5c81,pair3,human_success,human_failed,B,26.6251,-0.6993,0.0
009d5c81,pair4,codeit_success,codeit_failed,B,4.224,0.4605,1e-06
00dbd492,pair2,human_failed,codeit_failed,B,21.0358,-0.8227,0.0
00dbd492,pair3,human_success,human_failed,B,23.6145,-0.9428,0.0
03560426,pair3,human_success,human_failed,B,5.7277,0.995,0.0
0607ce86,pair3,human_success,human_failed,B,4.8094,0.9409,0.0
0692e18c,pair1,human_success,codeit_success,A,5.9866,0.4653,1e-06
0692e18c,pair2,human_failed,codeit_failed,A,3.3948,0.4895,0.0
0692e18c,pair3,human_success,human_failed,A,3.7492,0.7972,0.0
0692e18c,pair4,codeit_success,codeit_failed,A,1.3174,0.9517,0.0
070dd51e,pair1,human_success,codeit_success,B,5.372,0.5781,0.0
070dd51e,pair2,human_failed,codeit_failed,B,2.6327,0.5615,0.0
070dd51e,pair3,human_success,human_failed,B,5.665,0.6986,0.0
070dd51e,pair4,codeit_success,codeit_failed,B,2.9324,0.5687,0.0
08573cc6,pair3,human_success,human_failed,B,5.0157,0.8809,0.0
0934a4d8,pair1,human_success,codeit_success,A,3.8348,0.7345,0.0
0934a4d8,pair2,human_failed,codeit_failed,A,0.9549,,
0934a4d8,pair3,human_success,human_failed,A,4.2277,0.8949,0.0
0934a4d8,pair4,codeit_success,codeit_failed,A,2.6662,,
09c534e7,pair3,human_success,human_failed,B,22.1783,-0.4256,1e-05
0a2355a6,pair2,human_failed,codeit_failed,B,1.7141,0.744,0.0
0a2355a6,pair3,human_success,human_failed,B,2.4279,0.9149,0.0
0b17323b,pair1,human_success,codeit_success,B,442.913,0.1508,0.134313
0b17323b,pair2,human_failed,codeit_failed,B,10.9433,-0.5859,0.0
0b17323b,pair3,human_success,human_failed,B,449.3243,-0.6796,0.0
0b17323b,pair4,codeit_success,codeit_failed,B,12.7553,0.5573,0.0
0bb8deee,pair3,human_success,human_failed,A,6.6208,,
0becf7df,pair3,human_success,human_failed,B,5.0495,0.7127,0.0
0c786b71,pair1,human_success,codeit_success,A,4.6436,0.558,0.0
0c786b71,pair2,human_failed,codeit_failed,A,1.7886,0.5482,0.0
0c786b71,pair3,human_success,human_failed,A,4.6267,0.9203,0.0
0c786b71,pair4,codeit_success,codeit_failed,A,0.3075,0.9918,0.0
0c9aba6e,pair1,human_success,codeit_success,A,3.9556,0.822,0.0
0c9aba6e,pair2,human_failed,codeit_failed,A,1.365,0.8642,0.0
0c9aba6e,pair3,human_success,human_failed,A,2.6295,0.9318,0.0
0c9aba6e,pair4,codeit_success,codeit_failed,A,1.2753,0.9366,0.0
0d87d2a6,pair3,human_success,human_failed,B,3.6229,0.9613,0.0
0e671a1a,pair3,human_success,human_failed,B,14.2806,-0.1517,0.131872
0f63c0b9,pair3,human_success,human_failed,B,4.3246,0.973,0.0
103eff5b,pair3,human_success,human_failed,B,20.982,-0.7421,0.0
11e1fe23,pair3,human_success,human_failed,B,15.3404,-0.767,0.0
12422b43,pair2,human_failed,codeit_failed,B,34.379,-0.3762,0.000114
12422b43,pair3,human_success,human_failed,B,12.7323,-0.404,3.1e-05
12997ef3,pair3,human_success,human_failed,A,6.6735,,
12eac192,pair1,human_success,codeit_success,B,7.1316,0.8231,0.0
12eac192,pair2,human_failed,codeit_failed,B,0.8742,0.9476,0.0
12eac192,pair3,human_success,human_failed,B,8.1189,0.8035,0.0
12eac192,pair4,codeit_success,codeit_failed,B,5.1672,0.9285,0.0
136b0064,pair3,human_success,human_failed,A,2.6701,0.551,0.0
13713586,pair3,human_success,human_failed,B,3.7988,0.9047,0.0
137f0df0,pair3,human_success,human_failed,B,3.826,0.9553,0.0
140c817e,pair1,human_success,codeit_success,B,3.858,0.7157,0.0
140c817e,pair3,human_success,human_failed,B,0.7571,0.9848,0.0
14754a24,pair3,human_success,human_failed,B,33.249,-0.4556,2e-06
15113be4,pair3,human_success,human_failed,B,68.2262,-0.7238,0.0
15663ba9,pair3,human_success,human_failed,B,8.3726,0.3779,0.000106
15696249,pair1,human_success,codeit_success,A,6.6632,0.4464,3e-06
15696249,pair2,human_failed,codeit_failed,A,3.615,0.4728,1e-06
15696249,pair3,human_success,human_failed,A,3.7029,0.9441,0.0
15696249,pair4,codeit_success,codeit_failed,A,1.8217,0.855,0.0
16b78196,pair3,human_success,human_failed,B,12.7772,-0.6061,0.0
17b80ad2,pair2,human_failed,codeit_failed,B,8.2594,0.9245,0.0
17b80ad2,pair3,human_success,human_failed,B,17.6252,-0.6333,0.0
17cae0c1,pair3,human_success,human_failed,A,5.3124,,
18419cfa,pair3,human_success,human_failed,B,39.2898,0.6884,0.0
184a9768,pair3,human_success,human_failed,B,30.6839,-0.7775,0.0
195ba7dc,pair1,human_success,codeit_success,A,1.6847,0.8988,0.0
195ba7dc,pair2,human_failed,codeit_failed,A,0.5866,0.8638,0.0
195ba7dc,pair3,human_success,human_failed,A,3.7042,0.7692,0.0
195ba7dc,pair4,codeit_success,codeit_failed,A,2.7398,0.7759,0.0
1990f7a8,pair3,human_success,human_failed,A,7.264,,
19bb5feb,pair1,human_success,codeit_success,A,2.8009,0.762,0.0
19bb5feb,pair4,codeit_success,codeit_failed,A,1.0964,0.965,0.0
1a2e2828,pair1,human_success,codeit_success,A,2.0309,0.8711,0.0
1a2e2828,pair2,human_failed,codeit_failed,A,0.0,,
1a2e2828,pair3,human_success,human_failed,A,2.9592,,
1a2e2828,pair4,codeit_success,codeit_failed,A,4.1236,,
1a6449f1,pair2,human_failed,codeit_failed,A,0.0,,
1a6449f1,pair3,human_success,human_failed,A,8.2602,,
1acc24af,pair1,human_success,codeit_success,B,10.131,0.5308,0.0
1acc24af,pair2,human_failed,codeit_failed,B,0.8631,0.8297,0.0
1acc24af,pair3,human_success,human_failed,B,10.6336,0.7706,0.0
1acc24af,pair4,codeit_success,codeit_failed,B,3.1828,0.9661,0.0
1c02dbbe,pair3,human_success,human_failed,B,14.1601,-0.9633,0.0
1c0d0a4b,pair3,human_success,human_failed,B,4.0117,0.7784,0.0
1c56ad9f,pair3,human_success,human_failed,B,11.5455,-0.8619,0.0
1d0a4b61,pair2,human_failed,codeit_failed,B,9.4921,0.5709,0.0
1d0a4b61,pair3,human_success,human_failed,B,22.1335,-0.9433,0.0
1d398264,pair3,human_success,human_failed,B,25.538,-0.7684,0.0
1da012fc,pair2,human_failed,codeit_failed,B,47.6014,0.843,0.0
1da012fc,pair3,human_success,human_failed,B,69.7153,-0.5384,0.0
1e81d6f9,pair2,human_failed,codeit_failed,B,2.9314,0.9828,0.0
1e81d6f9,pair3,human_success,human_failed,B,49.7014,-0.7289,0.0
2037f2c7,pair3,human_success,human_failed,A,4.8252,,
2072aba6,pair3,human_success,human_failed,A,7.3739,,
20818e16,pair3,human_success,human_failed,A,3.6968,,
20981f0e,pair3,human_success,human_failed,B,17.1955,-0.6398,0.0
