exp_name,task_type,hashed_id,feedback
expv0,training,195f0749824286cb4b24f431004a3b87,"Interesting. I can't really explain my strategy, I just tried to look and see what a common theme was with the colors, shapes, number of tiles colored in, etc."
expv0,training,bf66a164234034d4709666dc364c8d55,this was fun - thanks! 
expv0,training,2b06355cea411af7a6fa212c90eb3c6d,Thank you.
expv0,training,19f69ac203258689f6823e2c49cea6b7,Very interesting.
expv0,training,37289334396727fffe878187ca738a35,The first 5 were jacked up. The controls didn't work properly. 
expv0,training,62a8e2cd997625ce65a1b66be0412469,A few were very difficult but many were simple. Overall very enjoyable hit!
expv0,training,7c3f0d5ec05185be127ab78876395426,"The examples were helpful. Sometimes one of the examples would not make sense to me. But, if I ignored it, I could figure things out."
expv0,training,44f806d8264a10e19e49ba7a25825994,i just tried to find the pattern
expv0,training,468133debd1059f212dc2013d14d463d,Solving the problems was fairly easy. I think there was only one that gave me trouble. I sort of just looked at all the inputs and tried to imagine what I need to do to make them match the outputs. The difficult part was explaining the rule to turn the input into the output. It was difficult to explain it clearly. 
expv0,training,eea7c398992fe15d1e26fef397ad81c7,"First of all, I really LOVED this puzzle.  That was extremely fun.  I followed the strategies that I saw on the demos to find the pattern that makes sense for all 3 demos to come up with the understanding of what to do.  There's a formula for each one of them.  Thank you so much.  Hope you will post more HITs in the future.  Happy Holidays & Stay Safe!  "
expv0,training,36793173c12b1a99895b5b11dfce3dfb,It was fun trying to find the correct rule. The last one I could not understand.
expv0,training,63dcb241b88d5ac635590dddbb2fb733,This was a fun and interesting hit. I tried to logically look at the problems and find out the reasoning behind the examples.
expv0,training,6cefab1ec9368a792cd51554b4187a5d,The study was interesting.  I still think the one you said I got wrong 3 times was correct the first time.  I'm confused at how it could be wrong.
expv0,training,f52e60932613eae87a17b9d58bbc3e4c,I just compared the input to the output and imagined what I would have to do to move from one to the other.
expv0,training,f170fec72411669d98c2117519eff9d6,I didn't really have a specific strategy.  I just studied the examples until I figured out the rule.  It came pretty quickly.
expv0,training,cb29d3449105481e91c41837b2f9ecee,it was fun - might be better if they were a little harder to solve. I mainly looked at the examples and they gave a great idea of what and how to solve each puzzle. the examples were key in every case.  I had a good time though. Thanks! 
expv0,training,08ac042547937929f95d827a01c90ec2,This was a lot of fun! 
expv0,training,16da963cc002d56a83eb8438e351bf05,Fun HIT! I was wondering if one of them was impossible? I looked at the iamges and figured it out from there.
expv0,training,25c6a0d1b4c98c74455464daf607273d,I really just looked at what was presented and tried to think about how everything worked together. I didn't use any particular strategies.
expv0,training,18a3eb62c5cd13ff308ac299b1f5f0ad,For the most part I looked at all of the examples unttil I could figure out the pattern
expv0,training,f779449edb30059d092d024ddf6819f3,I studied the example grids on the left and checked for patterns. Whatever popped out is the one I tried.
expv0,training,8c667f31f4618c59f132d2386cb047f4,a lot of it was very obvious but in some instances the obvious made me completely miss other points.
